Study	Drug	DrugName	Gene	Gene_in_GenAge_Human	Gene_in_GenAge_Model	Gene_targeted_by_DrugAge	Drug_targets_GenAge_Human	Drug_targets_GenAge_Model	Drug_in_DrugAge
Aliper2016	CHEMBL297453	EPIGALOCATECHIN GALLATE	ABCC1	NA	NA	TRUE	TRUE	TRUE	TRUE
Barardo2017	CHEMBL721	ACROLEIN	TRPA1	NA	NA	TRUE	NA	NA	NA
Barardo2017	CHEMBL1086218	VALSPODAR	ABCB1	NA	NA	TRUE	NA	NA	NA
Barardo2017	CHEMBL1086218	VALSPODAR	ABCB4	NA	NA	TRUE	NA	NA	NA
Barardo2017	CHEMBL1086218	VALSPODAR	ABCC1	NA	NA	TRUE	NA	NA	NA
Barardo2017	CHEMBL1086218	VALSPODAR	VDR	NA	NA	TRUE	NA	NA	NA
Barardo2017	CHEMBL1251	GANIRELIX ACETATE	GNRHR	NA	NA	TRUE	NA	NA	NA
Barardo2017	CHEMBL170365	ACETALDEHYDE	TRPA1	NA	NA	TRUE	NA	NA	NA
Barardo2017	CHEMBL1200490	CETRORELIX	SERPINE1	TRUE	NA	TRUE	TRUE	NA	NA
Barardo2017	CHEMBL1200490	CETRORELIX	GNRHR	NA	NA	TRUE	TRUE	NA	NA
Barardo2017	CHEMBL1200490	CETRORELIX	HSPD1	TRUE	NA	NA	TRUE	NA	NA
Barardo2017	CHEMBL506495	CHEMBL506495	GALR2	NA	NA	TRUE	NA	NA	NA
Barardo2017	CHEMBL506495	CHEMBL506495	GALR1	NA	NA	TRUE	NA	NA	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMC2	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD11	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD4P1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMB3	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD3	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD2	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMA8	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMC3IP	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMB10	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD14	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	BDNF	TRUE	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD8	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	HSPB2	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PIK3CG	NA	TRUE	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMB1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD13	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMB5	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMC1P1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD10P2	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD9	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PMAIP1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSME3	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD10P3	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMC3	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	RB1	TRUE	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD12	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD6	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSME2P2	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	NOTCH1	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	KRAS	NA	TRUE	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMA1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD4	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMC4	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMB8	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSME1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD10	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD5	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMA3	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMA6	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	BAX	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMA4	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	BCL2L2	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSME2	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMC5	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMB6	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMC1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMB4	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMB9	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSME4	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	FLT3	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMA2	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	XIAP	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	BCL2	TRUE	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	HSPA4	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	TP53	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMB7	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD7	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMB2	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMB11	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	ADRM1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMA7	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMA5	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	FGFR3	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	NFKB1	TRUE	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMF1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMC6	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PIPSL	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PSMD10P1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	SEM1	NA	NA	NA	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	GATA2	NA	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	DDIT3	TRUE	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	E2F1	TRUE	NA	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL325041	BORTEZOMIB	PIK3CA	TRUE	TRUE	TRUE	TRUE	TRUE	NA
Barardo2017	CHEMBL417016	LACTOSE, ANHYDROUS	TSHB	NA	NA	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL417016	LACTOSE, ANHYDROUS	PIK3CG	NA	TRUE	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL417016	LACTOSE, ANHYDROUS	GUCA2A	NA	NA	NA	NA	TRUE	NA
Barardo2017	CHEMBL417016	LACTOSE, ANHYDROUS	CYP1A2	NA	NA	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL417016	LACTOSE, ANHYDROUS	GALR2	NA	NA	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL442	ERGOTAMINE	HTR1D	NA	NA	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL442	ERGOTAMINE	HTR5A	NA	NA	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL442	ERGOTAMINE	HTR1B	NA	TRUE	TRUE	NA	TRUE	NA
Barardo2017	CHEMBL442	ERGOTAMINE	HTR2B	NA	NA	TRUE	NA	TRUE	NA
